% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
0.702621561,0,-1.7,311.2411369
0.943104069,0,-2,311.2886777
0,0,-2,311.3061926
0.640040672,0.475757109,-2,311.2884107
2.297378439,0,-1.7,311.2343304
2.056895931,0,-2,311.2880235
2.353100729,0.748688052,-2,311.2843451
3,0,-2,311.3026951
2.297378439,1.5,-1.7,311.2388865
2.056895931,1.5,-2,311.2904419
3,1.5,-2,311.3097729
0.3,0.15,-1.7,311.2390219
0,0,-1.7,311.2719771
0,0.75,-1.7,311.2740493
0,0.75,-2,311.3136992
0.3,0.75,-1.7,311.2304157
1.017393052,0.15,-1.7,311.2296366
1.466768342,0.669793305,-2,311.2842933
1.5,0,-1.7,311.2402017
0.3,1.35,-1.7,311.2406645
0,1.5,-1.7,311.270427
0.702621561,1.5,-1.7,311.2444793
0,1.5,-2,311.3097446
0.943104069,1.5,-2,311.2910369
0.858576759,0.942168375,-1.7,311.2255561
1.017393052,1.35,-1.7,311.2286126
1.5,1.5,-1.7,311.2427678
2.7,0.15,-1.7,311.2342782
3,0,-1.7,311.2681089
3,0.75,-1.7,311.281825
3,0.75,-2,311.3187445
1.982606948,0.15,-1.7,311.225363
2.7,0.75,-1.7,311.2319277
2.210481846,0.748983317,-1.7,311.2221668
1.458087574,0.819802701,-1.7,311.2267081
1.982606948,1.35,-1.7,311.2293266
2.7,1.35,-1.7,311.2375367
3,1.5,-1.7,311.2682464
2.2,0.15,0,299.9130135
2.232667668,0,0,299.8926409
2.240318275,0,0.3,299.8493811
1.7,0.15,0,299.9255858
2.30918075,0.607285368,0,299.9149594
2.326187914,0.544674532,0.135071925,299.8892514
2.7,0.75,0,299.8958725
2.2,1.35,0,299.9177335
2.7,0.15,0,299.8763429
3,0,0,299.8168899
1.7,0.75,0,299.9371548
1.5,0,0,299.9351172
1.3,0.15,0,299.9690283
1.5,0,0.3,299.8961089
0.767332332,0,0,299.974727
0.3,0.15,0,299.973953
0.759681725,0,0.3,299.9275111
0,0,0,299.9551462
0.8,0.15,0,299.9854258
0,0,0.3,299.9084623
0,0.75,0,299.9426077
0.3,0.75,0,299.9932196
0,0.75,0.3,299.9163285
0.3,1.35,0,299.9793945
0,1.5,0,299.9642797
1.301607211,0.538202855,0.3,299.9214827
0.90918075,0.607285368,0,299.9909624
1.3,0.75,0,299.9854771
1.856477493,0.584655039,0.3,299.8799194
1.7,1.35,0,299.9274094
2.430941923,0.504627942,0.3,299.8409062
2.232667668,1.5,0,299.9064324
2.240318275,1.5,0.3,299.8654859
2.674776216,1.216666667,0.1,299.8516072
2.7,1.35,0,299.8761871
3,0.75,0,299.8084119
3,0,0.3,299.7367234
3,1.5,0,299.8233273
3,0.75,0.3,299.7265735
0.816172119,0.797229516,0.3,299.9392525
0.8,1.35,0,299.9917965
1.3,1.35,0,299.9731365
1.5,1.5,0.3,299.9024127
1.5,1.5,0,299.9414559
0.767332332,1.5,0,299.9843657
0.759681725,1.5,0.3,299.936584
0,1.5,0.3,299.9179199
3,1.5,0.3,299.7339928
0.640040672,1.975757109,-2,311.2934425
0,2.25,-1.7,311.288892
0.3,1.65,-1.7,311.2434036
0,2.25,-2,311.3167777
0.3,2.25,-1.7,311.2368451
1.017393052,1.65,-1.7,311.234065
2.353100729,2.248688052,-2,311.2904825
1.466768342,2.169793305,-2,311.2908959
2.7,1.65,-1.7,311.2395235
3,2.25,-1.7,311.2845717
3,2.25,-2,311.3272872
2.7,2.25,-1.7,311.2380052
1.982606948,1.65,-1.7,311.2312675
2.297378439,3,-1.7,311.2481469
2.056895931,3,-2,311.2996934
3,3,-2,311.3173357
0.3,2.85,-1.7,311.2488125
0,3,-1.7,311.27724
0.702621561,3,-1.7,311.2548802
0,3,-2,311.3217829
0.943104069,3,-2,311.3016575
0.858576759,2.442168375,-1.7,311.232564
1.017393052,2.85,-1.7,311.2370006
1.5,3,-1.7,311.2528975
1.458087574,2.319802701,-1.7,311.2338598
2.7,2.85,-1.7,311.2452514
3,3,-1.7,311.282327
1.982606948,2.85,-1.7,311.2371908
2.210481846,2.248983317,-1.7,311.2281136
2.2,1.65,0,299.9256028
1.7,1.65,0,299.9363252
2.7,1.65,0,299.8891392
1.3,1.65,0,299.9811225
0.8,1.65,0,299.9983998
0.3,1.65,0,299.9865298
0,2.25,0,299.960284
0.3,2.25,0,300.0095087
0.3,2.85,0,299.998858
0,2.25,0.3,299.9348052
0,3,0,299.986223
0.8,2.85,0,300.01036
0.767332332,3,0,300.0063757
0.759681725,3,0.3,299.9585749
1.3,2.85,0,299.9921076
1.5,3,0,299.9634441
1.7,2.85,0,299.9457404
1.5,3,0.3,299.9244033
2.232667668,3,0,299.9230969
1.3,2.25,0,300.0011593
1.7,2.25,0,299.9518149
0.816172119,2.297229516,0.3,299.955885
0.90918075,2.107285368,0,300.0062124
1.301607211,2.038202855,0.3,299.9357678
1.856477493,2.084655039,0.3,299.8932269
2.30918075,2.107285368,0,299.9274642
2.2,2.85,0,299.9357738
2.7,2.25,0,299.9079365
2.430941923,2.004627942,0.3,299.8600655
2.240318275,3,0.3,299.8820128
2.7,2.85,0,299.8936777
3,3,0,299.838918
3,2.25,0.3,299.7395295
3,2.25,0,299.7984943
0,3,0.3,299.9406938
3,3,0.3,299.7312091
0.640040672,3.475757109,-2,311.3068326
1.017393052,3.15,-1.7,311.2467292
0.3,3.75,-1.7,311.2514385
0.3,3.15,-1.7,311.2545909
0,3.75,-2,311.3303878
0,3.75,-1.7,311.3027224
1.466768342,3.669793305,-2,311.3037664
2.353100729,3.748688052,-2,311.304026
2.7,3.15,-1.7,311.2509189
3,3.75,-1.7,311.3018294
3,3.75,-2,311.3386234
1.982606948,3.15,-1.7,311.2423062
2.7,3.75,-1.7,311.2517371
2.210481846,3.748983317,-1.7,311.2418973
2.7,4.35,-1.7,311.2605866
1.982606948,4.35,-1.7,311.2519544
1.458087574,3.819802701,-1.7,311.2468625
0.3,4.35,-1.7,311.263147
0,4.5,-1.7,311.2956938
0,4.5,-2,311.33531
0.702621561,4.5,-1.7,311.2711456
0.943104069,4.5,-2,311.3174576
0.858576759,3.942168375,-1.7,311.2467088
1.017393052,4.35,-1.7,311.2511612
3,4.5,-2,311.3357567
3,4.5,-1.7,311.2939395
